asho,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,"City, State",Marker,lat,lon
110,Times Herald,http://Timesherald.com,"410 Markley Street, Norristown, PA 19401",410 Markley Street,,Norristown,PA,19401,PENNSYLVANIA,http://www.facebook.com/pages/Norristown-PA/The-Times-Herald/52255693644,@TimesHeraldPA,https://twitter.com/TimesHeraldPA,,D,D,JRC,"Norristown, PA",small_blue,40.1173524,-75.3480246
93,Times-Herald,http://www.timesheraldonline.com/,"440 Curtola Parkway, Vallejo CA 94590",440 Curtola Parkway,,Vallejo,CA,94590,NORCAL - Northern California,http://www.facebook.com/timesherald?fref=ts,@vjotimesherald,https://twitter.com/vjotimesherald,,D,D,MNG,"Vallejo, CA",small_blue,38.097595,-122.252328
94,Times-Standard,http://www.times-standard.com/,"930 Sixth St., Eureka, CA 95501",930 Sixth St.,,Eureka,CA,95501,NORCAL - Northern California,http://www.facebook.com/TimesStandard?fref=ts,@eurekaTS,https://twitter.com/eurekaTS,,D,D,MNG,"Eureka, CA",small_blue,40.801373,-124.160721
72,Trentonian,http://Trentonian.com,"600 Perry Street, Trenton, NJ 08618",600 Perry Street,,Trenton,NJ,8618,NEW JERSEY,http://www.facebook.com/pages/Trenton-NJ/Trentoniancom/108200919211582,@Trentonian,https://twitter.com/Trentonian,,D,D,JRC,"Trenton, NJ",small_blue,40.2258229,-74.7543755
47,Whittier Daily News,http://www.whittierdailynews.com,"7612 Greenleaf Ave., Whittier, CA 90602",7612 Greenleaf Ave.,,Whittier,CA,90602,LANG - Los Angeles News Group,http://www.facebook.com/whittierdailynews?fref=ts,@WhittierNews,https://twitter.com/WhittierNews,,D,D,MNG,"Whitier, CA",small_blue,33.973056,-118.037009
122,York Daily Record,http://www.ydr.com/,"1891 Loucks Road, York, PA 17408",1891 Loucks Road,,York,PA,17408,PENNSYLVANIA,https://www.facebook.com/YorkDailyRecord,@ydrcom,https://twitter.com/ydrcom,,D,D,MNG,"York, PA",small_blue,39.973833,-76.775215
31,Connecticut Magazine,http://Connecticutmag.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/pages/Connecticut-Magazine/285485330442?fref=ts,@connecticutmag @theCTbride,http://bit.ly/113brY7,,M,W,JRC,"New Haven, CT",small_red,41.287185,-72.927784
107,El Latino Expreso,http://www.lorainlatino.com/,"1657 Broadway Avenue, Lorain, OH 44052",1657 Broadway Avenue,,Lorain,OH,44052,OHIO,None,None,None,,O,W,JRC,"Lorain, OH",small_red,41.456123,-82.166192
125,La Voz,http://www.lavozpa.com/,"410 Markley Street, Norristown, PA 19401",410 Markley Street,,Norristown,PA,19401,PENNSYLVANIA,,,,,O,W,JRC,"Norristown, PA",small_red,40.1173524,-75.3480246
36,Litchfield County Mom,http://litchfieldcountymom.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/LitchfieldCountyMom?fref=ts,@litchfieldmom,https://twitter.com/litchfieldmom,,O,W,JRC,"Litchfield, CT",,41.807289,-73.126064
