ID,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,lat,lon
18,Loveland Reporter-Herald,http://www.reporterherald.com/,"201 East 5th St., Loveland, CO 80537",201 East 5th St.,,Loveland,CO,80537,COLORADO,http://www.facebook.com/reporterherald?fref=ts,@reporterherald,https://twitter.com/reporterherald,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CO_LRH.jpg,D,D,MNG,40.396517,-105.074389
19,Colorado Hometown Weekly,http://www.coloradohometownweekly.com/,"3400 Industrial Lane, Suite 2, Broomfiield, CO 80020",3400 Industrial Lane, Suite 2,Broomfiield,CO,80020,COLORADO,http://www.facebook.com/coloradohometownweekly?fref=ts,@CoHoWeekly,https://twitter.com/CoHoWeekly,,W,W,MNG,39.923532,-105.107038
20,Canon City Daily Record,http://www.canoncitydailyrecord.com/,"701 South 9th St., Canon City, CO 81212",701 South 9th St.,,Canon City,CO,81212,COLORADO,http://www.facebook.com/CanonCityDailyRecord?fref=ts,@CCDR_news,https://twitter.com/CCDR_news,,D,D,MNG,38.436882,-105.231946
21,Colorado Daily,http://www.coloradodaily.com,"5450 Western Ave., Boulder, CO 80301",5450 Western Ave.,,Boulder,CO,80301,COLORADO,http://www.facebook.com/coloradodaily?fref=ts,@coloradodaily,https://twitter.com/coloradodaily,,5/W,D,MNG,40.017747,-105.226818
22,Longmont Weekly,http://www.longmontweekly.com,"1067 South Hover St., Unit E, Longmont, CO 80501",1067 South Hover St., Unit E,Longmont,CO,80501,COLORADO,http://www.facebook.com/LongmontWeekly?fref=ts,@LongmontWeekly,https://twitter.com/LongmontWeekly,,W,W,MNG,40.14872,-105.130852
23,Viva Colorado,http://www.vivacolorado.com/,"101 West Colfax Ave., 6th Floor, Denver, CO 80202",101 West Colfax Ave., 6th Floor,Denver,CO,80202,COLORADO,www.Facebook.com/TuVivaColorado,@vivacolorado,https://twitter.com/vivacolorado,,W,W,MNG,39.74067,-104.988789
24,New Haven Register,http://nhregister.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/NewHavenRegister?fref=ts,@nhregister,https://twitter.com/nhregister,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CT_NHR.jpg,D,D,JRC,41.286399,-72.926672
25,The Middletown Press,http://middletownpress.com,"386 Main St., 4th Floor, Middletown, CT 06457",386 Main St., 4th Floor,Middletown,CT,6457,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/middletownpress?fref=ts,@MiddletownPress,https://twitter.com/Middletownpress,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CT_MP.jpg,D,D,JRC,41.56146,-72.650389
26,Register Citizen,http://registercitizen.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts,@RegisterCitizen,https://twitter.com/RegisterCitizen,,D,D,JRC,41.806673,-73.125726
27,Litchfield County Times,http://countytimes.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/TheLitchfieldCtyTimes?fref=ts,@thelct,https://twitter.com/thelct,,W,W,JRC,41.806673,-73.125726
28,West Hartford News,http://westhartfordnews.com,"386 Main St., 4th Floor, Middletown, CT 06457",386 Main St., 4th Floor,Middletown,CT,6457,CONNECTICUT,https://www.facebook.com/#!/WHartfordNews?fref=ts,@WHartfordNews,https://twitter.com/WHartfordNews,,W,W,JRC,41.56146,-72.650389
29,Housatonic Times,http://Housatonictimes.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/HousatonicTimes?fref=ts,@housatonictimes,https://twitter.com/HousatonicTimes,,W,W,JRC,41.806673,-73.125726
30,Minuteman News Center,http://Minutemannewscenter.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,http://bit.ly/TvTlul,@fairfieldminute & @westportminute,http://bit.ly/113abED,,W,W,JRC,41.286399,-72.926672
31,Connecticut Magazine,http://Connecticutmag.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/pages/Connecticut-Magazine/285485330442?fref=ts,@connecticutmag @theCTbride,http://bit.ly/113brY7,,M,W,JRC,41.286399,-72.926672
32,Post Chronicle,http://CTpostchronicle.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/CTPostChronicle?fref=ts,@CTpostchronicle,https://twitter.com/ctpostchronicle,,W,W,JRC,41.286399,-72.926672
33,ShoreLine Times,http://Shorelinetimes.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/ShoreLineTimes?fref=ts,@ShorelineTimes,https://twitter.com/shorelinetimes,,W,W,JRC,41.286399,-72.926672
34,Dolphin News,http://Dolphin-news.com,"Naval Submarine Base, NLON PAO, New London, CT 06349",Naval Submarine Base, NLON PAO,New London,CT,6349,CONNECTICUT,http://www.facebook.com/pages/Dolphin-news/136348236420020,None,None,,W,W,JRC,41.356445,-72.096469
35,Milford-Orange Bulletin,http://Ctbulletin.com,"40 Sargent Drive, New Haven, CT 06511",40 Sargent Drive,,New Haven,CT,6511,CONNECTICUT,https://www.facebook.com/CTBulletin,@CTBulletin,https://twitter.com/CTBulletin,,W,W,JRC,41.286399,-72.926672
36,Litchfield County Mom,http://litchfieldcountymom.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/LitchfieldCountyMom?fref=ts,@litchfieldmom,https://twitter.com/litchfieldmom,,O,W,JRC,41.806673,-73.125726
37,The Foothills Trader,http://foothillstrader.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/FoothillsTrader?fref=ts,@shopfoothills,https://twitter.com/shopfoothills,,W,W,JRC,41.806673,-73.125726
38,Foothills Media Group,http://Foothillsmediagroup.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/foothills.staff?fref=ts,@theavonnews @thecantonnews @thegranbynews @litchfieldweb @thesimsburynews @thomastonxpress,http://bit.ly/SspgMs,,W,W,JRC,41.806673,-73.125726
39,Passport Magazine,http://Passport-mag.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/PASSPORTMag,@PASSPORTmag,https://twitter.com/PASSPORTmag,,Q,W,JRC,41.806673,-73.125726
40,Los Angeles Daily News,http://www.dailynews.com,"21860 Barbank Blvd, Suite 200, Woodland Hills, CA 91367",21860 Barbank Blvd, Suite 200,Woodland Hills,CA,91367,LANG - Los Angeles News Group,http://www.facebook.com/ladailynews?fref=ts,@ladailynews,https://twitter.com/ladailynews,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_DN.jpg,D,D,MNG,34.172042,-118.604079
41,Daily Breeze,http://www.dailybreeze.com/,"21250 Hawthorne Blvd, Suite 170, Torrance, CA 90503",21250 Hawthorne Blvd, Suite 170,Torrance,CA,90503,LANG - Los Angeles News Group,http://www.facebook.com/dailybreeze?ref=ts&fref=ts,@DailyBreezeNews,https://twitter.com/DailyBreezeNews,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_DB.jpg,D,D,MNG,33.836277,-118.353294
42,Inland Valley Daily Bulletin,http://www.dailybulletin.com/,"2041 East Fourth St., Ontario, CA 91764",2041 East Fourth St.,,Ontario,CA,91764,LANG - Los Angeles News Group,http://www.facebook.com/dailybulletin?fref=ts,@ivdailybulletin,https://twitter.com/ivdailybulletin,,D,D,MNG,34.077584,-117.607335
43,Press-Telegram,http://www.presstelegram.com/,"300 Oceangate, Long Beach, CA 90844",300 Oceangate,,Long Beach,CA,90844,LANG - Los Angeles News Group,http://www.facebook.com/presstelegram?fref=ts,@presstelegram,https://twitter.com/presstelegram,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_PT.jpg,D,D,MNG,33.767207,-118.200634
44,San Gabriel Valley Tribune,http://www.sgvtribune.com/,"1210 N. Azusa Canyon Rd, West Covina, CA 91790",1210 N. Azusa Canyon Rd,,West Covina,CA,91790,LANG - Los Angeles News Group,http://www.facebook.com/sgvtribune?fref=ts,@SGVTribune,https://twitter.com/SGVTribune,,D,D,MNG,34.09142,-117.943042
45,Pasadena Star-News,http://www.pasadenastarnews.com/,"911 East Colorado Blvd, Pasadena, CA 91106",911 East Colorado Blvd,,Pasadena,CA,91106,LANG - Los Angeles News Group,http://www.facebook.com/pasadenastarnews?fref=ts,@PasStarNews,https://twitter.com/PasStarNews,,D,D,MNG,34.145914,-118.131381
46,The Sun,http://www.sbsun.com/,"4030 North Georgia Blvd, San Bernardino, CA 92407",4030 North Georgia Blvd,,San Bernardino,CA,92407,LANG - Los Angeles News Group,http://www.facebook.com/sbsun?fref=ts,@sbsun,https://twitter.com/sbsun,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_TS.jpg,D,D,MNG,34.164429,-117.339185
47,Whittier Daily News,http://www.whittierdailynews.com,"7612 Greenleaf Ave., Whittier, CA 90602",7612 Greenleaf Ave.,,Whittier,CA,90602,LANG - Los Angeles News Group,http://www.facebook.com/whittierdailynews?fref=ts,@WhittierNews,https://twitter.com/WhittierNews,,D,D,MNG,33.973283,-118.037367
48,Redlands Daily Facts,http://www.redlandsdailyfacts.com/,"700 Brookside Ave., Redlands, CA 92373",700 Brookside Ave.,,Redlands,CA,92373,LANG - Los Angeles News Group,http://www.facebook.com/RedlandsDailyFacts?fref=ts,@ImpactoUSA,https://twitter.com/ImpactoUSA,,D,D,MNG,34.052363,-117.191209
49,Impacto USA,http://www.impactousa.com/,"21250 Hawthorne Blvd, Suite 170, Torrance, CA 90503",21250 Hawthorne Blvd, Suite 170,Torrance,CA,90503,LANG - Los Angeles News Group,http://www.facebook.com/pages/Impacto-USA/228940803824119?fref=ts,@RedlandsNews,https://twitter.com/RedlandsNews,,D,D,MNG,33.836277,-118.353294
50,The Beach Reporter,http://www.tbrnews.com/,"2615 Pacific Coast Highway, Suite 329, Hermosa Beach, CA 90254",2615 Pacific Coast Highway, Suite 329,Hermosa Beach,CA,90254,LANG - Los Angeles News Group,http://www.facebook.com/TheBeachReporter?fref=ts,@Beach_Reporter,https://twitter.com/Beach_Reporter,,W,W,MNG,33.873046,-118.395778
51,Downtown Gazette,http://www.gazettes.com/,"5225 East Second St., Long Beach, CA 90803",5225 East Second St.,,Long Beach,CA,90803,LANG - Los Angeles News Group,,@LBGazetteNews,https://twitter.com/LBGazetteNews,,,W,MNG,33.760142,-118.134426
52,Palos Verdes Peninsula News,http://www.pvnews.com/,"609 Deep Valley Drive, Suite 229, Rolling Hills Estates, CA 90274",609 Deep Valley Drive, Suite 229,Rolling Hills Estates,CA,90274,LANG - Los Angeles News Group,,@PVNewsEditor,https://twitter.com/PVNewsEditor,,,W,MNG,33.770958,-118.372103
53,The Berkshire Eagle,http://www.berkshireeagle.com/,"75 South Church St., Pittsfield, MA 01201",75 South Church St.,,Pittsfield,MA,1201,MASSACHUSSETS,http://www.facebook.com/berkshire.eagle,@BerkshireEagle,https://twitter.com/BerkshireEagle,,D,D,MNG,42.446855,-73.259717
54,Lowell Sun,http://www.lowellsun.com/,"491 Dutton St., Lowell, MA 01854",491 Dutton St.,,Lowell,MA,1854,MASSACHUSSETS,facebook.com/LowellSun,@LowellSunNews,https://twitter.com/LowellSunNews,,D,D,MNG,42.641237,-71.316771
55,Sentinel & Enterprise,http://www.sentinelandenterprise.com/,"808 Main St., Fitchburg, MA 01420",808 Main St.,,Fitchburg,MA,1420,MASSACHUSSETS,facebook.com/SentinelandEnterprise,@SentandEnt,https://twitter.com/SentandEnt,,D,D,MNG,42.585319,-71.804791
56,The Advocate Weekly,http://www.advocateweekly.com/,"85 Main St., Suite 2, North Adams, MA 01247",85 Main St., Suite 2,North Adams,MA,1247,MASSACHUSSETS,facebook.com/TheAdvocateWeekly,None,None,,W,W,MNG,42.698971,-73.111444
57,North Adams Transcript,http://www.thetranscript.com/,"85 Main St., Suite 2, North Adams, MA 01247",85 Main St., Suite 2,North Adams,MA,1247,MASSACHUSSETS,www.facebook.com/natranscript,@NATranscript,https://twitter.com/NATranscript,,D,D,MNG,42.698971,-73.111444
58,Nashoba Publishing,http://www.nashobapublishing.com,"78 Barnum Road, Devens, MA 01434-3508",78 Barnum Road,,Devens,MA, 01434-3508,MASSACHUSSETS,facebook.com/NashobaPub,,,,W,W,MNG,42.53751,-71.594679
59,The Oakland Press,http://Theoaklandpress.com,"48 W. Huron Street, Pontiac, MI 48342",48 W. Huron Street,,Pontiac,MI,48342,MICHIGAN,http://bit.ly/OPbrandFB,@TheOaklandPress,https://twitter.com/TheOaklandPress,,D,D,JRC,42.638473,-83.294607
60,The Macomb Daily,http://Macombdaily.com,"100 Macomb Daily Drive, Mount Clemens, MI 48043",100 Macomb Daily Drive,,Mount Clemens,MI,48043,MICHIGAN,http://bit.ly/MDbrandFB,@macombdaily,https://twitter.com/macombdaily,,D,D,JRC,42.598321,-82.863121
61,The Morning Sun,http://Themorningsun.com,"711 W. Pickard St., Mt. Pleasant, MI 48858",711 W. Pickard St.,,Mt. Pleasant,MI,48858,MICHIGAN,http://bit.ly/MSbrandFB,@MPMorningSun,https://twitter.com/MPMorningSun,,D,D,JRC,43.611738,-84.784615
62,Daily Tribune,http://Dailytribune.com,"100 Macomb Daily Drive, Mount Clemens, MI 48043",100 Macomb Daily Drive,,Mount Clemens,MI,48043,MICHIGAN,http://bit.ly/DailyTribbrandFB,@dailytrib,https://twitter.com/DailyTrib,,4/w,W,JRC,42.598321,-82.863121
63,Heritage Newspapers West,http://Heritage.com,"106 West Michigan Avenue, Saline, MI 48176",106 West Michigan Avenue,,Saline,MI,48176,MICHIGAN,http://bit.ly/HeritageFBpages,"@A2Journal, @SalineMilanNews, @manchenterprise, @YpsiCourier, @BellevilleView, @chelseadexter",http://bit.ly/Ue0QEX,,W,W,JRC,42.16654,-83.781653
64,The News Herald,http://Thenewsherald.com,"One Heritage Drive, Suite 100, Southgate, MI 48195",One Heritage Drive, Suite 100,Southgate,MI,48195,MICHIGAN,http://bit.ly/NewsHeraldMIbrandFB,@NewsHeraldMI,https://twitter.com/NewsHeraldMI,,3/W,W,JRC,42.21066,-83.222794
65,Press & Guide,http://Pressandguide.com,"One Heritage Drive, Suite 100, Southgate, MI 48195",One Heritage Drive, Suite 100,Southgate,MI,48195,MICHIGAN,http://bit.ly/PGbrandFB,@pressandguide,https://twitter.com/pressandguide,,W,W,JRC,42.21066,-83.222794
66,The Voice Newspapers,http://Voicenews.com,"51180 Bedford St., New Baltimore, MI 48047",51180 Bedford St.,,New Baltimore,MI,48047,MICHIGAN,http://bit.ly/VNbrandFB,@VoicenewsNB,https://twitter.com/VoicenewsNB,,W,W,JRC,42.681691,-82.735559
67,Advisor and Source Newspapers,http://Sourcenewspapers.com,"48075 Van Dyke, Shelby Twp, MI 48317",48075 Van Dyke,,Shelby Twp,MI,48317,MICHIGAN,http://bit.ly/SOURCEbrandFB,@advisorsource,https://twitter.com/advisorsource,,W,W,JRC,42.648507,-83.033185
68,Detroit News,http://www.detroitnews.com,"615 W. Lafayette Blvd., Detroit, MI 48220",615 W. Lafayette Blvd.,,Detroit,MI,48220,MICHIGAN,http://bit.ly/DetNewsbrandFB,@detnews,https://twitter.com/detnews,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/MI_DN.jpg,D,D,MNG,42.32901,-83.054008
69,The Leader and The Kalkaskian,http://morningstarpublishing.com/leader_and_kalkaskian/,"318 North Cedar Street, Kalkaska, MI 49646",318 North Cedar Street,,Kalkaska,MI,49646,MICHIGAN,http://bit.ly/L-KbrandFB,,,,W,W,JRC,44.737621,-85.174468
70,Grand Traverse Insider,http://www.morningstarpublishing.com/grand_traverse_insider/,"410 South Union Street, Traverse City, MI 49684",410 South Union Street,,Traverse City,MI,49684,MICHIGAN,http://bit.ly/GTIbrandFB,@TheGTInsider,https://twitter.com/TheGTInsider,,W,W,JRC,44.760308,-85.623795
71,St. Paul Pioneer Press,http://www.twincities.com/,"345 Cedar Street, St. Paul, MN 55101",345 Cedar Street,,St. Paul,MN,55101,MINNESOTA,http://bit.ly/PiPressbrandFB,@PioneerPress,https://twitter.com/PioneerPress,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/MN_PP.jpg,D,D,MNG,44.945805,-93.092779
72,Trentonian,http://Trentonian.com,"600 Perry Street, Trenton, NJ 08618",600 Perry Street,,Trenton,NJ,8618,NEW JERSEY,http://www.facebook.com/pages/Trenton-NJ/Trentoniancom/108200919211582,@Trentonian,https://twitter.com/Trentonian,,D,D,JRC,40.225522,-74.754682
73,South Jersey Local News,http://www.southjerseylocalnews.com/,"32 S. Main Street, Medford, NJ 08055",32 S. Main Street,,Medford,NJ,8055,NEW JERSEY,http://bit.ly/V4UoAL,"@CentralRecord, @MapleShadeProg, @NJRecordBreeze, @NJCommunityNews",http://bit.ly/Tv9fWN,,W,W,JRC,39.898294,-74.823547
74,El Latino Expreso,http://www.njexpreso.com/,"600 Perry Street, Trenton, NJ 08618",600 Perry Street,,Trenton,NJ,8618,NEW JERSEY,http://www.facebook.com/ElLatinoExpreso?fref=ts,,,,W,W,JRC,40.225522,-74.754682
75,Las Cruces Sun-News,http://www.lcsun-news.com/,"715 E. Idaho, Building 4, Suites C & D,  Las Cruces, NM 88004",715 E. Idaho,"Building 4, Suites C & D",Las Cruces,NM,88004,NEW MEXICO,http://bit.ly/LasCrucesbrandFB,@CrucesSunNews,https://twitter.com/CrucesSunNews,,D,D,MNG,32.312201,-106.792944
76,Alamogordo Daily News,http://www.alamogordonews.com,"518 24th St., Alamogordo, NM 88310",518 24th St.,,Alamogordo,NM,88310,NEW MEXICO,http://bit.ly/AlamogordoBrandFB,@alamogordonews,https://twitter.com/alamogordonews,,6/W,D,MNG,32.919022,-105.956237
77,The Daily Times,http://www.daily-times.com,"201 North Allen, Farmington, NM 87499",201 North Allen,,Farmington,NM,87499,NEW MEXICO,http://bit.ly/FDTbrandFB,@TheDailyTimes,https://twitter.com/TheDailyTimes,http://bit.ly/FDTNewseum,D,D,MNG,36.73045,-108.206657
78,Carlsbad Current-Argus,http://www.currentargus.com,"620 S. Main St., Carlsbad, NM 88221-1629",620 S. Main St.,,Carlsbad,NM, 88221-1629,NEW MEXICO,http://www.facebook.com/pages/Carlsbad-Current-Argus/130211193676772,@CCurrentArgus,https://twitter.com/CCurrentArgus,,D,D,MNG,32.414122,-104.22647
79,Ruidoso News,http://www.ruidosonews.com/,"104 Park Avenue, Ruidoso, NM 88345",104 Park Avenue,,Ruidoso,NM,88345,NEW MEXICO,http://www.facebook.com/pages/Ruidoso-News/136941796341905,@RuidosoNews,https://twitter.com/RuidosoNews,,W,W,MNG,33.327802,-105.663171
80,Silver City Sun News,http://www.scsun-news.com/,"208 W. Broadway, Silver City, NM 88061",208 W. Broadway,,Silver City,NM,88061,NEW MEXICO,http://www.facebook.com/scsunnews,@SCSunNews,https://twitter.com/SCSunNews,,W,W,MNG,32.769838,-108.277244
81,The Deming Headlight,http://www.demingheadlight.com,"219 E. Maple, Deming, NM 88031",219 E. Maple,,Deming,NM,88031,NEW MEXICO,http://www.facebook.com/demingheadlight,@demingheadlight,https://twitter.com/demingheadlight,,W,W,MNG,32.265821,-107.756632
82,Four Corners Business Journal,http://www.businessjournals.com/,"201 N. Allen, Farmington, NM 87401",201 N. Allen,,Farmington,NM,87401,NEW MEXICO,,,,,?,,MNG,36.73045,-108.206657
83,Daily Freeman,http://Dailyfreeman.com,"79 Hurley Ave., Kingston, NY 12401",79 Hurley Ave.,,Kingston,NY,12401,NEW YORK,http://www.facebook.com/Freeman,@dailyfreeman,https://twitter.com/DailyFreeman,,D,D,JRC,41.937001,-74.028705
84,Saratogian,http://Saratogian.com,"20 Lake Avenue, Saratoga Springs, NY 12866",20 Lake Avenue,,Saratoga Springs,NY,12866,NEW YORK,https://www.facebook.com/Saratogian,@SaratogianNews,https://twitter.com/SaratogianNews,,D,D,JRC,43.083002,-73.783602
85,The Record,http://Troyrecord.com,"501 Broadway, Troy, NY 12180",501 Broadway,,Troy,NY,12180,NEW YORK,http://www.facebook.com/troyrecord,@TroyRecord,https://twitter.com/troyrecord,,D,D,JRC,42.73094,-73.687153
86,Oneida Daily Dispatch,http://Oneidadispatch.com,"130 Broad Street, Oneida, NY 13421",130 Broad Street,,Oneida,NY,13421,NEW YORK,http://www.facebook.com/pages/Oneida-Daily-Dispatch/298810515781,@oneidadispatch,https://twitter.com/Oneidadispatch,,D,D,JRC,43.094239,-75.653316
87,CN Weekly (Community News),http://CNweekly.com,"20 Lake Avenue, Saratoga Springs, NY 12866",20 Lake Avenue,,Saratoga Springs,NY,12866,NEW YORK,www.facebook.com/CommunityNewsNY,@cnweekly,https://twitter.com/CNWeekly,,W,W,JRC,43.083002,-73.783602
88,Rome Observer,http://Romeobserver.com,"130 Broad St., Oneida, NY 13421",130 Broad St.,,Oneida,NY,13421,NEW YORK,https://www.facebook.com/pages/Rome-Observer/340124912888,@romeobserver,https://twitter.com/RomeObserver,,W,W,JRC,43.094239,-75.653316
89,Las Noticias,http://www.lasnoticiasny.com/,"79 Hurley Avenue, Kingston, NY 12401",79 Hurley Avenue,,Kingston,NY,12401,NEW YORK,,,,,W,W,JRC,41.937001,-74.028705
